--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:19:44 2025
--------------------------------------------------------------------------------
 {'name': 'loginwindow', 'pid': 377, 'username': 'root', 'vms': 402488.140625} 
 {'name': 'PackageThumbnailExtension', 'pid': 10391, 'username': 'devashish', 'vms': 416956.15625} 


 {'name': 'geodMachServiceBridge', 'pid': 10394, 'username': 'devashish', 'vms': 416906.859375} 


 {'name': 'VTDecoderXPCService', 'pid': 10399, 'username': 'devashish', 'vms': 416890.796875} 


 {'name': 'AppSSOAgent', 'pid': 10452, 'username': 'devashish', 'vms': 401749.40625} 


 {'name': 'ctkd', 'pid': 10469, 'username': 'devashish', 'vms': 416953.109375} 


 {'name': 'parsec-fbf', 'pid': 10477, 'username': 'devashish', 'vms': 416956.0625} 


 {'name': 'PlugInLibraryService', 'pid': 10509, 'username': 'devashish', 'vms': 400541.40625} 


 {'name': 'ImageThumbnailExtension', 'pid': 10510, 'username': 'devashish', 'vms': 416965.125} 


 {'name': 'inputanalyticsd', 'pid': 10512, 'username': 'devashish', 'vms': 416943.671875} 


 {'name': 'Code Helper', 'pid': 10517, 'username': 'devashish', 'vms': 1823117.296875} 


 {'name': 'Code Helper (Plugin)', 'pid': 10518, 'username': 'devashish', 'vms': 1823094.609375} 


 {'name': 'TextThumbnailExtension', 'pid': 10542, 'username': 'devashish', 'vms': 416976.375} 


 {'name': 'OSDUIHelper', 'pid': 10549, 'username': 'devashish', 'vms': 401522.09375} 


 {'name': 'pet', 'pid': 10552, 'username': 'devashish', 'vms': 400780.71875} 


 {'name': 'zsh', 'pid': 10558, 'username': 'devashish', 'vms': 400615.1875} 


 {'name': 'Code Helper (Plugin)', 'pid': 10654, 'username': 'devashish', 'vms': 1828120.453125} 


 {'name': 'Code Helper (Plugin)', 'pid': 10655, 'username': 'devashish', 'vms': 1821353.21875} 


 {'name': 'SpeechSynthesisServerXPC', 'pid': 10691, 'username': 'devashish', 'vms': 416944.703125} 


 {'name': 'PowerChime', 'pid': 11647, 'username': 'devashish', 'vms': 417020.546875} 


 {'name': 'IntelligencePlatformComputeService', 'pid': 12609, 'username': 'devashish', 'vms': 416947.90625} 


 {'name': 'LinkedNotesUIService', 'pid': 14070, 'username': 'devashish', 'vms': 417002.953125} 


 {'name': 'Notes', 'pid': 14071, 'username': 'devashish', 'vms': 402492.890625} 


 {'name': 'localspeechrecognition', 'pid': 14072, 'username': 'devashish', 'vms': 416944.4375} 


 {'name': 'dmd', 'pid': 14073, 'username': 'devashish', 'vms': 416948.703125} 


 {'name': 'naturallanguaged', 'pid': 14074, 'username': 'devashish', 'vms': 416983.546875} 


