USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
devashish        10370   0.0  0.2 426962816  17264   ??  S     3:36PM   0:00.52 /usr/libexec/proactived
root             10369   0.0  0.1 426950592   5088   ??  Ss    3:36PM   0:00.10 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
devashish        10368   0.0  0.0 33994984    956   ??  Ss    3:36PM   0:01.46 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
devashish        10366   0.0  0.0 426916752   3808   ??  S     3:36PM   0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
devashish        10364   0.0  0.1 426950944   8944   ??  S     3:36PM   0:00.19 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
devashish        10361   0.0  0.2 426965392  15072   ??  S     3:36PM   0:00.49 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
devashish        10360   0.0  0.1 426955888  12208   ??  S     3:36PM   0:00.33 /usr/libexec/appleaccountd
devashish        10357   0.0  0.2 426965328  13776   ??  S     3:36PM   0:00.51 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
devashish        10358   0.0  0.1 426960160   6736   ??  S     3:36PM   0:00.05 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
root             10354   0.0  0.0 426916240   2944   ??  Ss    3:36PM   0:00.03 /usr/libexec/keybagd -t 15
devashish        10353   0.0  0.1 410659968   7952   ??  S     3:36PM   0:00.11 /usr/libexec/SidecarRelay
root             10352   0.0  0.0 426949984   3264   ??  Ss    3:36PM   0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
root             10351   0.0  0.1 426950384   7440   ??  Ss    3:36PM   0:00.35 /usr/libexec/audioanalyticsd
devashish        10349   0.0  0.1 426950768  12080   ??  S     3:36PM   0:00.23 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
