--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 
 {'pid': 10366, 'name': 'AudioComponentRegistrar', 'username': 'devashish', 'vms': 416910.890625} 


 {'pid': 10368, 'name': 'CarbonComponentScannerXPC', 'username': 'devashish', 'vms': 33198.2265625} 


 {'pid': 10370, 'name': 'proactived', 'username': 'devashish', 'vms': 416955.875} 


 {'pid': 10374, 'name': 'swcd', 'username': 'devashish', 'vms': 416953.484375} 


 {'pid': 10387, 'name': 'pbs', 'username': 'devashish', 'vms': 416953.265625} 


 {'pid': 10388, 'name': 'com.apple.quicklook.ThumbnailsAgent', 'username': 'devashish', 'vms': 417464.15625} 


 {'pid': 10390, 'name': 'extensionkitservice', 'username': 'devashish', 'vms': 416920.734375} 


 {'pid': 10391, 'name': 'PackageThumbnailExtension', 'username': 'devashish', 'vms': 416956.15625} 


 {'pid': 10394, 'name': 'geodMachServiceBridge', 'username': 'devashish', 'vms': 416906.859375} 


 {'pid': 10452, 'name': 'AppSSOAgent', 'username': 'devashish', 'vms': 401749.40625} 


 {'pid': 10469, 'name': 'ctkd', 'username': 'devashish', 'vms': 416953.109375} 


 {'pid': 10477, 'name': 'parsec-fbf', 'username': 'devashish', 'vms': 416956.0625} 


 {'pid': 10509, 'name': 'PlugInLibraryService', 'username': 'devashish', 'vms': 400541.40625} 


 {'pid': 10510, 'name': 'ImageThumbnailExtension', 'username': 'devashish', 'vms': 416965.125} 


 {'pid': 10512, 'name': 'inputanalyticsd', 'username': 'devashish', 'vms': 416943.671875} 


 {'pid': 10517, 'name': 'Code Helper', 'username': 'devashish', 'vms': 1823117.296875} 


 {'pid': 10518, 'name': 'Code Helper (Plugin)', 'username': 'devashish', 'vms': 1823094.609375} 


 {'pid': 10542, 'name': 'TextThumbnailExtension', 'username': 'devashish', 'vms': 416976.375} 


 {'pid': 10549, 'name': 'OSDUIHelper', 'username': 'devashish', 'vms': 401522.09375} 


 {'pid': 10552, 'name': 'pet', 'username': 'devashish', 'vms': 400780.71875} 


 {'pid': 10558, 'name': 'zsh', 'username': 'devashish', 'vms': 400615.1875} 


 {'pid': 10654, 'name': 'Code Helper (Plugin)', 'username': 'devashish', 'vms': 1828120.453125} 


 {'pid': 10655, 'name': 'Code Helper (Plugin)', 'username': 'devashish', 'vms': 1821353.21875} 


 {'pid': 10691, 'name': 'SpeechSynthesisServerXPC', 'username': 'devashish', 'vms': 416944.703125} 


 {'pid': 11647, 'name': 'PowerChime', 'username': 'devashish', 'vms': 417020.546875} 


 {'pid': 12609, 'name': 'IntelligencePlatformComputeService', 'username': 'devashish', 'vms': 416947.90625} 


 {'pid': 14070, 'name': 'LinkedNotesUIService', 'username': 'devashish', 'vms': 417005.71875} 


 {'pid': 14071, 'name': 'Notes', 'username': 'devashish', 'vms': 402490.40625} 


 {'pid': 14072, 'name': 'localspeechrecognition', 'username': 'devashish', 'vms': 416944.4375} 


 {'pid': 14073, 'name': 'dmd', 'username': 'devashish', 'vms': 416948.703125} 


 {'pid': 14074, 'name': 'naturallanguaged', 'username': 'devashish', 'vms': 416983.546875} 


 {'pid': 14075, 'name': 'sociallayerd', 'username': 'devashish', 'vms': 416920.484375} 


 {'pid': 14082, 'name': 'GroupSessionService', 'username': 'devashish', 'vms': 416943.359375} 


 {'pid': 15835, 'name': 'ThemeWidgetControlViewService', 'username': 'devashish', 'vms': 401796.4375} 


 {'pid': 22074, 'name': 'UserNotificationCenter', 'username': 'devashish', 'vms': 417141.6875} 


 {'pid': 22078, 'name': 'MTLCompilerService', 'username': 'devashish', 'vms': 416972.671875} 


 {'pid': 22079, 'name': 'MTLCompilerService', 'username': 'devashish', 'vms': 416936.515625} 


 {'pid': 23822, 'name': 'SharingXPCHelper', 'username': 'devashish', 'vms': 416910.328125} 


 {'pid': 23823, 'name': 'XprotectService', 'username': 'devashish', 'vms': 416953.390625} 


